### DATA:
#
# 362
#      Q             I(Q)           Error     
#                                        "RNAPR30_MPsucrose_51_data_000006_00006.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000007_00007.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000008_00008.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000009_00009.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000012_00012.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000013_00013.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000014_00014.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000015_00015.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000016_00016.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000017_00017.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000018_00018.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000019_00019.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000020_00020.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000021_00021.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000022_00022.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000023_00023.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000025_00025.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000026_00026.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000027_00027.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000028_00028.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000029_00029.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000030_00030.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000031_00031.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000032_00032.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000033_00033.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000034_00034.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000035_00035.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000036_00036.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000037_00037.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000039_00039.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000040_00040.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000041_00041.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000042_00042.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000043_00043.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000044_00044.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000045_00045.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000046_00046.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000047_00047.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000048_00048.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000049_00049.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000050_00050.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000051_00051.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000052_00052.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000053_00053.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000054_00054.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000055_00055.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000056_00056.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000057_00057.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000058_00058.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000059_00059.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000060_00060.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000061_00061.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000062_00062.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000063_00063.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000064_00064.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000065_00065.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000066_00066.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000067_00067.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000068_00068.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000069_00069.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000070_00070.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000071_00071.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000072_00072.h5"
#                                    ],
#                                    [
